essay_set,essay,domain1_score,avg_distance_bw_neighbours,max_distance_bw_neighbours,min_distance_bw_neighbours,avg_distance_bw_points,max_distance_bw_points,clark_and_evans,avg_distance_to_nearest_neighbours,cumulative_frequency_distribution,avg_distance_bw_neighbours_euclid,max_distance_bw_neighbours_euclid,min_distance_bw_neighbours_euclid,avg_distance_bw_points_euclid,avg_distance_bw_centroid_and_points,max_distance_bw_centroid_and_points,min_distance_bw_centroid_and_points
5,"In this memoir of Narciso Rodriguez, @PERSON3's life, the mood containing it all, was greatful, and showed how his parents gave him love through his whole life. Both his parents were born and raised in Cuba, and in 1956, they both moved to the United States. Starting their lives over again, and taking any job they could find. Then in 1961, @PERSON2, @CAPS1. was born. Both Parents raised him with love, and care, and introducing his Cuban background into his life.        As @PERSON2, was telling his story, all readers could tell how greatful he was to have a family like he did. Also, as he shared his non- blood related family, and the remembrence on how his parents' life changed by moving to @LOCATION2, he showed the respect he had towards them.",2,0.7472362521449333,0.8219860414049228,0.6746944515224851,0.4102201082770719,0.8219860414049228,4.828661386498187,0.7279480935768983,0.45454545454545453,0.7082289209016764,0.8066046720389298,0.5966807498069253,1.013884900844216,[0.76619193],[0.87015888],[0.71106169]
5,"Throughout the excerpt from Home the Blueprints of Our Lives, Narciso Rodriguez, the author, manages to maintain a single overall mood. In many parts of the story he tells about how much he loved his childhood so it lead me to think was nostalgia, but nowhere does it emphasize that he yearns to return to past times. He always declared how loving and selfless his family was, how they aided others, and how he became"" family"" with his neighbors. Due to this I have found the tone to be, loving and admiring towards his parents. This is so due to the fact that he states how his parents were so brave to leave their lives in Cuba behind just so he could have a better life. Narciso Rodriguez also remarks numerous times on how his parents helped so many in need. If in Rodriguez's position I would love and admire my parents just as much, if not more, for their selfless deeds and upbringing of their son.",2,0.8093342747952053,0.8541493572963054,0.7277771792830485,0.3998363216838948,0.8541493572963054,5.934107312604531,0.7929784450041429,0.42857142857142855,0.6153346620663097,0.7378655984892528,0.5400937746423203,1.0304336627972288,[0.77212824],[0.89547901],[0.69779598]
5,"The mood the author created in the memoir is love. the author finds out that family doesn't have to be blood related. In the author's neighborhood ""despite customs elsewhere, all of these cultures came together in solidarity and friendship"" (@NUM1). The author loves thier parents because they came ""as many immagrants do, to give their children a better life"" (@NUM2). The author is very greatful that her parents ""Mother and father had come to this country with such courage, without any knowledge of the language or the culture"" (@NUM3). The author's parents gave him a great life by moving to @LOCATION1 and ""turned this simple house into a @NUM4).",3,0.6656676723697703,0.7383599900279711,0.6064466292668289,0.34601940848481477,0.7383599900279711,4.068309675034557,0.6432562400004331,0.6,0.8157789394324526,0.8871903637136409,0.7233809645989159,1.0698589525139062,[0.8077197],[0.91330108],[0.76585681]
5,The mood created by the author is showing how cuban's lived and about Their cultra and how they lived and some people from other cultra's could be diffrent and don't @CAPS1 cared about their cultra's and some people do care about their cultra like narciso parents. that is what the author is trying to say. and that some people should respect their cultra and not @CAPS2 To be a different cultra.,1,0.4979260497515565,0.5865590679154807,0.38748978741675777,0.3859143447880832,0.5865590679154807,2.444246678060191,0.46191920378878715,0.5714285714285714,0.9996838582129762,1.106806408170139,0.909330448279963,1.0196491659464209,[0.78258782],[0.85919659],[0.72875943]
5,"The mood created in the memoir is happiness and gratitude. Narciso is grateful of his parents for moving to @LOCATION1, and still give him warm happy feeling of a house in Cuba. His parents passed down their culture to him and he is happy that they did. Narciso is glad to have lived in the home that they did, and all the opertunities that he had as a child. He is grateful that his family always got together and had a feast with cuban music, activities, and food. His parents gave up their jobs and had to Start their lives over entirely. Narciso is also grateful that he learned the real definition of ""family"". He is also very grateful to his parents for their love and sacrifice.",3,0.7487545075096956,0.8090061528059902,0.682220093488398,0.41658932180547564,0.8090061528059902,4.7746662324209685,0.7198080178236455,0.6363636363636364,0.706271123185762,0.7972200530739327,0.6180515305280135,1.0111155010794952,[0.76284685],[0.85489362],[0.72550838]
5,"The mood definitely helps you feel and comprehend the story better. The mood is a mixture of both happy and sad because of the way the author states his ideas. For example, the sentence ""I will never forget how my parents turned this simple house into a home"" makes me feel sad because he grew up and everything is just memories now but he keeps those happy memories. Most of other ideas like ""I will be grateful to my parents for their love and sacrifice"" also carry the same reasons for being happy or sad. However statements like ""My mother and father came to this country with such courage, without any knowledge of the language or the culture"" makes me feel happy that his parents were so determind. Overall the main idea is remembering the good and bad times of his life and the mood for this idea is happy/sad.",3,0.7644552104453511,0.853633053244675,0.7084219623325422,0.38936154005867857,0.853633053244675,5.413002185447212,0.7506483436087906,0.6153846153846154,0.6841341422986741,0.7636465644098163,0.5410488827367177,1.0415225561675907,[0.78099895],[0.83521236],[0.75418976]
5,"In Narciso Rodriguez's memoir from ""Home: The Blueprints of Our Lives"" he/she incorporated love and passion into the mood. You can tell this by how fondly and strongly Narciso talks about some things. ""Here, the innocence of childhood, the congregation of family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm houses."" In this one sentence alone, you could feel Narciso's passion and love for this home of the their's. Narciso puts a great deal of love and thankfulness into paragraph @NUM1 and @NUM2 when talking about his/her parents. ""It was here where I learned the real definition of 'family'... I will never forget how my parents turned the simple house into a home."" These two sentences are most likely the strongest in Narciso's memoir, these two are also the ones filled with the most passion and meaning. As you can see, in Narciso Rodriguez's memoir from ""Home: The Blueprints of Our Lives"", the mood Narciso puts in it is love and passion. ",3,0.811647217427202,0.8477238287802206,0.7660731825394349,0.43067122142922504,0.8477238287802206,5.967180986969666,0.7973981006468597,0.5714285714285714,0.6120392998811803,0.6839982711389923,0.5518626119239823,1.004404445813444,[0.75427989],[0.7833374],[0.72489555]
5,"In the excerpt the mood created by the author is love. Love for family and love for each other. The author talks about his parents in a loving and respectful way, ""I will never forget how my parents turned this simple house into a home."" The author discribes all his parents went through to make their own and his life better. In doing so they turned an apartment into a place of love and caring that he will never forget and more importantly passed this love onto him. The author also talks about his ""family"" and the love shared between them, ""My parents always kept their arms and their door open to the many people we considered family..."" The author's ""family"" wasn't completely blood related. Many people were friends but very close friends that hav become like family and were always welcomed. Finally, the author talks about his community, ""In our neighborhood, despite customs elsewhere, all these cultures came together in great solidarity and friendship."" No matter what nationality they were the comunity was very close together and understanding. It was these basic principles of friendship, trust, love, and caring that were passed onto the author of this excerpt by a varity of people and give the excerpt a mood of love.",4,0.8539981959342846,0.9197662447621696,0.786545589901239,0.4270967369431881,0.9197662447621696,6.900118792937661,0.8367623121350416,0.5882352941176471,0.5367343100410206,0.6533825986338494,0.40058396183030165,1.007746088326203,[0.75536191],[0.83614116],[0.68024296]
5,"The mood created by the author in the memoir is grateful and fortunate. Narciso Rodriguez talks about being so fortunate to have his parents and his heritage of being Cuban. From paragraph @NUM1, ""I will always be grateful to my parents for their love and sacrifice."" @CAPS1 is saying that @CAPS1 was so happy and lucky to have his parents as parents which is the main mood of the memoir.Another mood created by Narciso Rodriguez in his memoir is happiness. @CAPS1 makes the story happy by saying how great it was to grow up with his family. @CAPS1 also says that his family was a lot of people in his neighborhood as well. @CAPS1 is happy to have a great family. From paragraph @NUM2, ""Here, the innocence of childhood, the congregation family and friends, and endless celebrations that encompassed both, formed the backdrop to life in our warm home.""@CAPS2 are two moods created by Rodriguez in his memoir.",3,0.8218309893456607,0.9044396758481446,0.7715955823851731,0.4351208034869461,0.9044396758481446,6.05502181882467,0.809136325552954,0.5714285714285714,0.5937227845818863,0.6758763461090009,0.43717347621248837,0.9998111036794834,[0.74963868],[0.8615331],[0.68023039]
5,"The author generally stayed in one mood. The mood portrayed in the story was family and friends are very important and they help what you will be in the future. This is why the author stressed how thankful he was that his family had come to @LOCATION1 to make him a better life and that his friends came over to share their culture. Also the author was saying that even in @LOCATION1 it was important to remember his cuban blood and culture. This is why he says ""...and a love of cooking that is still with me today (and for which I am eternally grateful). Passionate cuban music (which I adore to this day) filled the air, mixing with the aromas, of the kitchen."" Also the author say's that a home is where geat memeries are and were you grow up, you should never forget it.",3,0.7650590392763849,0.8838151465216977,0.6548376264141683,0.38907341503058557,0.8838151465216977,5.308352254014592,0.7361360092336328,0.6153846153846154,0.6798882110252366,0.8308578381237455,0.4820474115236021,1.0412663980765218,[0.77996897],[0.89168548],[0.71756475]
